BURT LANCASTER,Person,9/19/83 (#1),R1
AN EYE FOR AN EYE AND A TOOTH FOR A TOOTH,Phrase,9/19/83 (#1),R2
CONSTRUCTIVE CRITICISM,Thing,9/19/83 (#1),R3
CONSTRUCTIVE CRITICISM,Thing,9/19/83 (#1),R3
BIGGER AND BETTER,Phrase,9/22/83 (#4),R1
VITAL STATISTICS,Things,9/22/83 (#4),R2
THE PEOPLE'S REPUBLIC OF CHINA,Place,9/22/83 (#4),R3
THE PEOPLE'S REPUBLIC OF CHINA,Place,9/22/83 (#4),R3
MULLIGAN STEW,Thing,9/23/83 (#5)*,R1
TOMB OF THE UNKNOWN SOLDIER,Landmark,9/23/83 (#5)*,R2
CLINICALLY TESTED,Phrase,9/23/83 (#5)*,R3
BOSTON RED SOX,People,9/23/83 (#5)*,R4
BOSTON RED SOX,People,9/23/83 (#5)*,R4
MOST LIKELY TO SUCCEED,Phrase,9/26/83 (#6)*,R1
THE WHOLE BALL OF WAX,Phrase,9/26/83 (#6)*,R2
NIELSEN RATINGS,Things,9/26/83 (#6)*,R3
NIELSEN RATINGS,Things,9/26/83 (#6)*,R3
DR FRANKENSTEIN,Fictional Character,10/3/83 (#11)*,R1
CHEECH AND CHONG,People,10/3/83 (#11)*,R2
ELEMENTARY MY DEAR WATSON,Quotation,10/3/83 (#11)*,R3
ELEMENTARY MY DEAR WATSON,Quotation,10/3/83 (#11)*,R3
UNITED STATES AMBASSADOR,Person,1/2/84 (#71)*,R1
ELECTRIC BLANKET,Thing,1/2/84 (#71)*,R2
STILL WATER RUNS DEEP,Phrase,1/2/84 (#71)*,R3
STILL WATER RUNS DEEP,Phrase,1/2/84 (#71)*,R3
MASON-DIXON LINE,Thing,1/3/84 (#72)*,R1
BACHELOR'S BUTTON,Thing,1/3/84 (#72)*,R2
KNIGHTS OF COLUMBUS,People,1/3/84 (#72)*,R3
KNIGHTS OF COLUMBUS,People,1/3/84 (#72)*,R3
REMEMBER THE ALAMO,Phrase,1/4/84 (#73)*,R1
SLIP INTO SOMETHING MORE COMFORTABLE,Phrase,1/4/84 (#73)*,R2
VENDING MACHINE,Thing,1/4/84 (#73)*,R3
VENDING MACHINE,Thing,1/4/84 (#73)*,R3
ONE HAND WASHES THE OTHER,Phrase,4/2/84 (#136)*,R1
RUB-A-DUB-DUB THREE MEN IN A TUB,Quotation,4/2/84 (#136)*,R2
SINGIN' IN THE RAIN,Title,4/2/84 (#136)*,R3
SINGIN' IN THE RAIN,Title,4/2/84 (#136)*,R3
WOLF WHISTLE,Thing,5/1/84 (#152)*,R1
ANTS IN YOUR PANTS,Phrase,5/1/84 (#152)*,R2
COME HELL OR HIGH WATER,Phrase,5/1/84 (#152)*,R3
COME HELL OR HIGH WATER,Phrase,5/1/84 (#152)*,R3
COME HELL OR HIGH WATER,Phrase,5/1/84 (#152)*,R3
YOU ONLY LIVE ONCE,Phrase,9/10/84 (#196)*,R1
GEORGE C SCOTT,Person,9/10/84 (#196)*,R2
THE PAINTED DESERT,Place,9/10/84 (#196)*,R3
SO LONG UNTIL TOMORROW,Quotation,9/10/84 (#196)*,R4
SO LONG UNTIL TOMORROW,Quotation,9/10/84 (#196)*,R4
JERRY LEWIS,Person,9/11/84 (#197)*,R1
A STEP IN THE RIGHT DIRECTION,Phrase,9/11/84 (#197)*,R2
MATTER-OF-FACT,Phrase,9/11/84 (#197)*,R3
MATTER-OF-FACT,Phrase,9/11/84 (#197)*,R3
REACH OUT AND TOUCH SOMEONE,Quotation,9/12/84 (#198)*,R1
THREE BLIND MICE,Fictional Characters,9/12/84 (#198)*,R2
A MARRIAGE MADE IN HEAVEN,Phrase,9/12/84 (#198)*,R3
A MARRIAGE MADE IN HEAVEN,Phrase,9/12/84 (#198)*,R3
FOR HE'S A JOLLY GOOD FELLOW,Title,9/13/84 (#199)*,R1
AT THE STROKE OF MIDNIGHT,Phrase,9/13/84 (#199)*,R2
MARY MARY QUITE CONTRARY,Quotation,9/13/84 (#199)*,R3
MARY MARY QUITE CONTRARY,Quotation,9/13/84 (#199)*,R3
NAVY-BEAN SOUP,Thing,9/14/84 (#200)*,R1
TAKEN TO THE CLEANERS,Phrase,9/14/84 (#200)*,R2
ROCK-AND-ROLL STAR,Person,9/14/84 (#200)*,R3
SOUTH PACIFIC,Title,9/14/84 (#200)*,R4
SOUTH PACIFIC,Title,9/14/84 (#200)*,R4
ROME WASN'T BUILT IN A DAY,Phrase,9/17/84 (#201)*,R1
RIPLEY'S BELIEVE IT OR NOT,Title,9/17/84 (#201)*,R2
MARRIAGE LICENSE,Thing,9/17/84 (#201)*,R3
CHAPERON,Person,9/17/84 (#201)*,R4
CHAPERON,Person,9/17/84 (#201)*,R4
GETTING AWAY WITH MURDER,Phrase,9/18/84 (#202)*,R1
WOODROW WILSON,Person,9/18/84 (#202)*,R2
CORNED BEEF AND CABBAGE,Things,9/18/84 (#202)*,R3
JUMP FOR JOY,Phrase,9/18/84 (#202)*,R4
JUMP FOR JOY,Phrase,9/18/84 (#202)*,R4
DON'T FLATTER YOURSELF,Phrase,10/1/84 (#211)*,R1
WHAT YOU SEE IS WHAT YOU GET,Phrase,10/1/84 (#211)*,R2
NASHVILLE TENNESSEE,Place,10/1/84 (#211)*,R3
NASHVILLE TENNESSEE,Place,10/1/84 (#211)*,R3
THE NEW TESTAMENT,Title,10/2/84 (#212)*,R1
ALEXANDER GRAHAM BELL,Person,10/2/84 (#212)*,R2
LET BYGONES BE BYGONES,Phrase,10/2/84 (#212)*,R3
FLEA MARKET,Place,10/2/84 (#212)*,R4
FLEA MARKET,Place,10/2/84 (#212)*,R4
SAN JUAN PUERTO RICO,Place,10/3/84 (#213)*,R1
EVERY SECOND COUNTS,Phrase,10/3/84 (#213)*,R2
FRANKFURTERS AND SAUERKRAUT,Things,10/3/84 (#213)*,R3
FRANKFURTERS AND SAUERKRAUT,Things,10/3/84 (#213)*,R3
SOUNDS FISHY TO ME,Phrase,10/4/84 (#214)*,R1
DOCTORS AND NURSES,People,10/4/84 (#214)*,R2
MOVING RIGHT ALONG,Phrase,10/4/84 (#214)*,R3
MOVING RIGHT ALONG,Phrase,10/4/84 (#214)*,R3
YOU TOOK THE WORDS RIGHT OUT OF MY MOUTH,Phrase,11/23/84 (#250),R1
